WigleWifi-1.4,appRelease=2.26,model=SM-G920F,release=7.0,device=zeroflte,display=NRD90M.G920FXXU5EQD3,board=universal7420,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
58:00:e3:7d:ed:87,DIRECT-ByLAPTOP-GJJ0E8I8msWV,[WPA2-PSK-CCMP][WPS][ESS][P2P],2017-11-08 19:22:22,11,-53,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c8:d8,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,11,-58,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
ec:8c:a2:26:d2:c8,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,11,-73,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d1:38,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,6,-78,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:ca:38,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,11,-76,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d9:bc,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,36,-57,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:ca:37,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,48,-71,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:cc:17,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,36,-73,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:d0:37,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,60,-90,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c8:dc,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,44,-60,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d1:3c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,44,-71,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:ca:d8,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,1,-71,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:ca:3c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,48,-80,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c8:ec,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,52,-88,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:ca:dc,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,36,-71,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:cc:1c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,36,-76,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c7:bc,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,44,-69,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d1:ec,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,40,-89,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d1:e8,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,1,-76,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c8:e8,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,1,-78,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c8:5c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,44,-84,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,11,-83,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d4:5c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,58,-82,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c7:ac,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,36,-88,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,44,-78,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d8:9c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,44,-89,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d0:3c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,60,-84,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d0:38,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,11,-90,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:c8:d7,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,44,-62,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:ca:d7,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,36,-71,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:d1:37,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,44,-74,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:d4:57,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,58,-81,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:c8:17,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,48,-82,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:d3:77,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,36,-85,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:c8:e7,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,52,-88,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
00:1a:2f:7f:6b:70,,[WPA2-PSK-CCMP][ESS],2017-11-08 19:22:22,13,-87,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c7:b8,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,1,-57,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:cc:18,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,11,-72,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,6,-74,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,48,-84,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d3:7c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,36,-85,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:da:1c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,58,-86,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
1c:b9:c4:15:44:58,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,11,-83,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d8:ec,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,36,-92,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
42502_811_3868449,Cellcom,UNKNOWN;il,2017-11-08 19:22:22,0,-89,32.105076629250796,35.2069878014934,685.7117909264881,12,GSM
ec:8c:a2:26:d2:c8,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,11,-56,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:ca:d8,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,1,-63,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,11,-67,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,44,-73,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:d0:3c,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,60,-79,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:d0:38,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,11,-76,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,6,-68,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,48,-79,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:d3:7c,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,36,-74,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:d8:ec,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,36,-85,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:d8:e8,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,6,-79,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:da:18,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,6,-80,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
1c:b9:c4:16:05:78,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,6,-80,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:c7:8c,Ariel_University,[ESS][BLE],2017-11-08 19:22:27,56,-92,32.10508316385999,35.206953711479414,688.1468296360976,8,WIFI
f0:b0:52:3e:ca:38,Ariel_University,[ESS][BLE],2017-11-08 19:22:32,11,-71,32.10509478765551,35.206975711308054,690.5421339027172,8,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS][BLE],2017-11-08 19:22:32,44,-67,32.10509478765551,35.206975711308054,690.5421339027172,8,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS][BLE],2017-11-08 19:22:32,48,-74,32.10509478765551,35.206975711308054,690.5421339027172,8,WIFI
f0:b0:52:be:c7:b7,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:32,44,-79,32.10509478765551,35.206975711308054,690.5421339027172,8,WIFI
00:27:22:f3:e0:f6,,[ESS],2017-11-08 19:22:32,6,-81,32.10509478765551,35.206975711308054,690.5421339027172,8,WIFI
1c:b9:c4:16:05:38,Ariel_University,[ESS][BLE],2017-11-08 19:22:32,11,-82,32.10509478765551,35.206975711308054,690.5421339027172,8,WIFI
1c:b9:c4:16:1d:7c,Ariel_University,[ESS][BLE],2017-11-08 19:22:32,44,-89,32.10509478765551,35.206975711308054,690.5421339027172,8,WIFI
ec:8c:a2:26:d2:c8,Ariel_University,[ESS][BLE],2017-11-08 19:22:37,11,-51,32.10505902855257,35.20703745297369,689.3639070124793,8,WIFI
f0:b0:52:3e:c7:bc,Ariel_University,[ESS][BLE],2017-11-08 19:22:37,44,-63,32.10505902855257,35.20703745297369,689.3639070124793,8,WIFI
f0:b0:52:3e:d4:5c,Ariel_University,[ESS][BLE],2017-11-08 19:22:37,58,-75,32.10505902855257,35.20703745297369,689.3639070124793,8,WIFI
f0:b0:52:be:d4:57,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:37,58,-76,32.10505902855257,35.20703745297369,689.3639070124793,8,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS][BLE],2017-11-08 19:22:37,6,-60,32.10505902855257,35.20703745297369,689.3639070124793,8,WIFI
f0:b0:52:3e:da:18,Ariel_University,[ESS][BLE],2017-11-08 19:22:37,6,-75,32.10505902855257,35.20703745297369,689.3639070124793,8,WIFI
f0:b0:52:3e:c7:8c,Ariel_University,[ESS][BLE],2017-11-08 19:22:37,56,-85,32.10505902855257,35.20703745297369,689.3639070124793,8,WIFI
f0:b0:52:3e:d4:58,Ariel_University,[ESS][BLE],2017-11-08 19:22:37,1,-69,32.10505902855257,35.20703745297369,689.3639070124793,8,WIFI
f0:b0:52:3e:cc:7c,Ariel_University,[ESS][BLE],2017-11-08 19:22:37,44,-83,32.10505902855257,35.20703745297369,689.3639070124793,8,WIFI
1c:b9:c4:14:38:2c,Ariel_University,[ESS][BLE],2017-11-08 19:22:37,36,-86,32.10505902855257,35.20703745297369,689.3639070124793,8,WIFI
f0:b0:52:3e:cc:78,Ariel_University,[ESS][BLE],2017-11-08 19:22:37,6,-83,32.10505902855257,35.20703745297369,689.3639070124793,8,WIFI
f0:b0:52:3e:61:c8,Ariel_University,[ESS][BLE],2017-11-08 19:22:37,11,-90,32.10505902855257,35.20703745297369,689.3639070124793,8,WIFI
42502_22811_5329535,Cellcom,HSUPA;il,2017-11-08 19:22:37,0,-89,32.10505902855257,35.20703745297369,689.3639070124793,8,GSM
f0:b0:52:3e:d0:38,Ariel_University,[ESS][BLE],2017-11-08 19:22:42,11,-62,32.105041066224445,35.207100178597784,686.4895668435189,4,WIFI
f0:b0:52:be:c7:b7,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:42,44,-69,32.105041066224445,35.207100178597784,686.4895668435189,4,WIFI
1c:b9:c4:94:38:27,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:42,36,-85,32.105041066224445,35.207100178597784,686.4895668435189,4,WIFI
f0:b0:52:3e:61:cc,Ariel_University,[ESS][BLE],2017-11-08 19:22:42,40,-89,32.105041066224445,35.207100178597784,686.4895668435189,4,WIFI
1c:b9:c4:15:44:5c,Ariel_University,[ESS][BLE],2017-11-08 19:22:42,44,-91,32.105041066224445,35.207100178597784,686.4895668435189,4,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS][BLE],2017-11-08 19:22:47,6,-55,32.10501113357523,35.20712028033326,684.7045011743119,6,WIFI
f0:b0:52:3e:da:1c,Ariel_University,[ESS][BLE],2017-11-08 19:22:47,58,-81,32.10501113357523,35.20712028033326,684.7045011743119,6,WIFI
f0:b0:52:be:da:17,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:47,58,-81,32.10501113357523,35.20712028033326,684.7045011743119,6,WIFI
f0:b0:52:be:d0:37,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:47,60,-82,32.10501113357523,35.20712028033326,684.7045011743119,6,WIFI
f0:b0:52:be:d1:e7,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:47,40,-83,32.10501113357523,35.20712028033326,684.7045011743119,6,WIFI
f0:b0:52:3e:d1:ec,Ariel_University,[ESS][BLE],2017-11-08 19:22:47,40,-84,32.10501113357523,35.20712028033326,684.7045011743119,6,WIFI
f0:b0:52:3e:d8:98,Ariel_University,[ESS][BLE],2017-11-08 19:22:52,1,-72,32.10496567598121,35.20712346711811,684.1909820587375,6,WIFI
ec:8c:a2:08:aa:dc,Ariel_University,[ESS][BLE],2017-11-08 19:22:52,36,-83,32.10496567598121,35.20712346711811,684.1909820587375,6,WIFI
f0:b0:52:3e:c8:58,Ariel_University,[ESS][BLE],2017-11-08 19:22:52,6,-80,32.10496567598121,35.20712346711811,684.1909820587375,6,WIFI
f0:b0:52:3e:d1:e8,Ariel_University,[ESS][BLE],2017-11-08 19:23:00,1,-63,32.10487527324261,35.20713378962639,684.2301519622291,4,WIFI
f0:b0:52:be:d6:f7,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:23:00,44,-86,32.10487527324261,35.20713378962639,684.2301519622291,4,WIFI
1c:b9:c4:14:2b:a8,Ariel_University,[ESS][BLE],2017-11-08 19:23:00,1,-81,32.10487527324261,35.20713378962639,684.2301519622291,4,WIFI
00:25:86:cc:00:f8,AUC_54_R,[ESS],2017-11-08 19:23:00,5,-80,32.10487527324261,35.20713378962639,684.2301519622291,4,WIFI
1c:b9:c4:15:fd:68,Ariel_University,[ESS][BLE],2017-11-08 19:23:00,11,-86,32.10487527324261,35.20713378962639,684.2301519622291,4,WIFI
ec:8c:a2:26:d3:68,Ariel_University,[ESS][BLE],2017-11-08 19:23:00,1,-86,32.10487527324261,35.20713378962639,684.2301519622291,4,WIFI
f0:b0:52:3e:d0:98,Ariel_University,[ESS][BLE],2017-11-08 19:23:00,1,-87,32.10487527324261,35.20713378962639,684.2301519622291,4,WIFI
ec:8c:a2:08:aa:dc,Ariel_University,[ESS][BLE],2017-11-08 19:23:17,36,-75,32.104667197518346,35.20711384035409,687.019984055538,6,WIFI
1c:b9:c4:15:fd:6c,Ariel_University,[ESS][BLE],2017-11-08 19:23:17,36,-90,32.104667197518346,35.20711384035409,687.019984055538,6,WIFI
ec:8c:a2:88:aa:d7,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:23:17,36,-77,32.104667197518346,35.20711384035409,687.019984055538,6,WIFI
ec:8c:a2:88:95:87,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:23:17,36,-85,32.104667197518346,35.20711384035409,687.019984055538,6,WIFI
ec:8c:a2:08:aa:d8,Ariel_University,[ESS][BLE],2017-11-08 19:23:17,6,-82,32.104667197518346,35.20711384035409,687.019984055538,6,WIFI
ec:8c:a2:08:95:88,Ariel_University,[ESS][BLE],2017-11-08 19:23:17,1,-82,32.104667197518346,35.20711384035409,687.019984055538,6,WIFI
ec:8c:a2:08:95:8c,Ariel_University,[ESS][BLE],2017-11-08 19:23:17,36,-86,32.104667197518346,35.20711384035409,687.019984055538,6,WIFI
1c:b9:c4:15:3d:78,Ariel_University,[ESS][BLE],2017-11-08 19:23:17,11,-83,32.104667197518346,35.20711384035409,687.019984055538,6,WIFI
ec:8c:a2:08:95:88,Ariel_University,[ESS][BLE],2017-11-08 19:23:23,1,-77,32.104601404220055,35.20708594439569,688.0206631129437,6,WIFI
1c:b9:c4:95:fd:67,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:23:23,36,-88,32.104601404220055,35.20708594439569,688.0206631129437,6,WIFI
00:27:22:f3:e0:83,,[ESS],2017-11-08 19:23:23,1,-76,32.104601404220055,35.20708594439569,688.0206631129437,6,WIFI
1c:b9:c4:15:0e:b8,Ariel_University,[ESS][BLE],2017-11-08 19:23:23,11,-84,32.104601404220055,35.20708594439569,688.0206631129437,6,WIFI
00:27:22:f3:e0:7b,,[ESS],2017-11-08 19:23:23,1,-85,32.104601404220055,35.20708594439569,688.0206631129437,6,WIFI
ec:8c:a2:08:aa:d8,Ariel_University,[ESS][BLE],2017-11-08 19:23:29,6,-73,32.10452867980712,35.207047294336306,688.8072826342835,4,WIFI
70:5a:0f:5c:b0:0b,DIRECT-80-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-08 19:23:29,6,-84,32.10452867980712,35.207047294336306,688.8072826342835,4,WIFI
24:1f:a0:1d:48:fb,HUAWEI_Grace_A9A9,[WPA2-PSK-CCMP][ESS],2017-11-08 19:23:29,6,-89,32.10452867980712,35.207047294336306,688.8072826342835,4,WIFI
1c:b9:c4:14:38:28,Ariel_University,[ESS][BLE],2017-11-08 19:23:29,6,-84,32.10452867980712,35.207047294336306,688.8072826342835,4,WIFI
1c:b9:c4:16:cc:ac,Ariel_University,[ESS][BLE],2017-11-08 19:23:29,44,-89,32.10452867980712,35.207047294336306,688.8072826342835,4,WIFI
ec:8c:a2:26:d3:c8,Ariel_University,[ESS][BLE],2017-11-08 19:23:29,1,-88,32.10452867980712,35.207047294336306,688.8072826342835,4,WIFI
00:27:22:f3:e1:f4,,[ESS],2017-11-08 19:23:29,11,-89,32.10452867980712,35.207047294336306,688.8072826342835,4,WIFI
ec:8c:a2:08:aa:dc,Ariel_University,[ESS][BLE],2017-11-08 19:23:35,36,-69,32.1044482779125,35.207005361195215,689.4315697451306,6,WIFI
1c:b9:c4:15:fd:68,Ariel_University,[ESS][BLE],2017-11-08 19:23:35,11,-79,32.1044482779125,35.207005361195215,689.4315697451306,6,WIFI
ec:8c:a2:08:a2:4c,Ariel_University,[ESS][BLE],2017-11-08 19:23:35,36,-86,32.1044482779125,35.207005361195215,689.4315697451306,6,WIFI
ec:8c:a2:08:a2:48,Ariel_University,[ESS][BLE],2017-11-08 19:23:35,6,-85,32.1044482779125,35.207005361195215,689.4315697451306,6,WIFI
1c:b9:c4:16:cc:a8,Ariel_University,[ESS][BLE],2017-11-08 19:23:35,11,-85,32.1044482779125,35.207005361195215,689.4315697451306,6,WIFI
1c:b9:c4:15:41:f8,Ariel_University,[ESS][BLE],2017-11-08 19:23:35,1,-87,32.1044482779125,35.207005361195215,689.4315697451306,6,WIFI
ec:8c:a2:08:aa:dc,Ariel_University,[ESS][BLE],2017-11-08 19:23:40,36,-61,32.104390391989114,35.20698418865288,689.8526018246771,6,WIFI
ec:8c:a2:08:aa:d8,Ariel_University,[ESS][BLE],2017-11-08 19:23:40,6,-63,32.104390391989114,35.20698418865288,689.8526018246771,6,WIFI
ec:8c:a2:08:95:8c,Ariel_University,[ESS][BLE],2017-11-08 19:23:40,36,-75,32.104390391989114,35.20698418865288,689.8526018246771,6,WIFI
06:ae:db:53:3f:a5,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-08 19:23:40,6,-88,32.104390391989114,35.20698418865288,689.8526018246771,6,WIFI
1c:b9:c4:15:1f:58,Ariel_University,[ESS][BLE],2017-11-08 19:23:40,11,-87,32.104390391989114,35.20698418865288,689.8526018246771,6,WIFI
24:c9:a1:35:aa:b8,Ariel_University,[ESS],2017-11-08 19:23:40,2,-88,32.104390391989114,35.20698418865288,689.8526018246771,6,WIFI
1c:b9:c4:15:36:78,Ariel_University,[ESS][BLE],2017-11-08 19:23:40,1,-91,32.104390391989114,35.20698418865288,689.8526018246771,6,WIFI
ec:8c:a2:08:95:88,Ariel_University,[ESS][BLE],2017-11-08 19:23:47,1,-72,32.10429323592205,35.2069905322758,690.3840144788874,4,WIFI
ec:8c:a2:88:95:87,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:23:47,36,-74,32.10429323592205,35.2069905322758,690.3840144788874,4,WIFI
3a:f6:43:38:40:7f,iPhone,[WPA2-PSK-CCMP][ESS],2017-11-08 19:23:47,6,-78,32.10429323592205,35.2069905322758,690.3840144788874,4,WIFI
ec:8c:a2:88:a2:47,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:23:47,36,-88,32.10429323592205,35.2069905322758,690.3840144788874,4,WIFI
00:25:86:cc:07:b2,KCG_54,[ESS],2017-11-08 19:23:47,2,-83,32.10429323592205,35.2069905322758,690.3840144788874,4,WIFI
1c:b9:c4:15:1f:5c,Ariel_University,[ESS][BLE],2017-11-08 19:23:47,44,-90,32.10429323592205,35.2069905322758,690.3840144788874,4,WIFI
